""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000002834"	6158.65494198933	-0.954244206084845	0.496891239669389	-1.92042871739852	0.0548037690573106	0.160368406175901
"ENSG00000003402"	0.796253181442774	-0.335742930627261	1.79071706481587	-0.187490775189426	0.851275855778027	0.916758613914798
"ENSG00000004961"	326.689749779612	0.0358908504971601	0.471456326287997	0.0761276251816284	0.939317562191454	0.968956597310847
"ENSG00000005073"	79.0227026625933	8.18283536501305	1.92845662477007	4.24320425977364	2.20350701087131e-05	0.000314660801152423
"ENSG00000005102"	8.11394305925268	6.03513235800447	1.72424309553111	3.50016327375548	0.000464973267119771	0.00377805906582804
"ENSG00000005421"	8.31478276783935	0.276083971803539	1.26771750496455	0.217780357786619	0.827600249468768	0.904757471057562
"ENSG00000006468"	12.711747446428	0.892649806292494	1.21299388858952	0.735906268522487	0.461787742148971	0.642722120651784
"ENSG00000006634"	132.464967158437	0.70833469724357	0.372187939609821	1.90316402510555	0.057019145732591	0.163587291095499
"ENSG00000007908"	7.16940846149261	5.44525848529626	1.2256508506404	4.4427485057846	8.88169593208551e-06	0.000162603356295104
"ENSG00000010610"	98.4366572852049	4.77044694928239	1.07083609164089	4.45488061760456	8.39398896200179e-06	0.000158077711319559
"ENSG00000012779"	36.1996254330045	0.753098701320478	1.40868634481981	0.534610635000376	0.59291912806326	0.745356626553949
"ENSG00000016082"	4.61428217488077	2.51345933348454	2.12300612308562	1.18391525401322	0.236446611219426	0.421319849274459
"ENSG00000022267"	8.09341670046953	6.01191426679757	1.3687307798937	4.39232780844196	1.12143440864631e-05	0.000195293699456943
"ENSG00000037757"	1005.60493175235	0.446729329160897	0.442813295220207	1.00884353289063	0.313049679559298	0.502286452146829
"ENSG00000044115"	2.59789218388885	3.36369314978469	1.82499508736447	1.84312449555264	0.0653108356221647	0.175666892038737
"ENSG00000047648"	9.40059278358665	2.08173242026803	1.30282336565627	1.59786236196293	0.110073612116775	0.252957252513097
"ENSG00000053372"	0.559827511675481	-0.0510691212781834	2.10450632061883	-0.0242665563784891	0.980639989414949	0.993158797790459
"ENSG00000058866"	7.21953507266314	4.77247039562242	1.39176714707697	3.42907246060931	0.000605647808245636	0.00445806737203488
"ENSG00000064692"	21.3388486569919	-1.03517269679757	1.26411189889692	-0.818893246476737	0.412847323413828	0.60528334479974
"ENSG00000065154"	1.7817631348147	1.80142980220555	1.22294444512841	1.47302668521169	0.140743840435714	0.295399068482069
"ENSG00000067842"	8.87362350793437	4.35930435698763	1.29490824178367	3.36649672642667	0.000761294857826965	0.00527732551930537
"ENSG00000070669"	2.64387992568555	0.362712174534812	1.80901128924354	0.200502991159599	0.841087218888295	0.91241562381618
"ENSG00000070729"	4.33030213900707	3.05991051484203	1.70943392440073	1.79001391698409	0.0734516741279215	0.189234906560463
"ENSG00000070756"	4910.94471611575	-0.175894105425204	0.437383341652273	-0.402150902137108	0.68757297324412	0.806120037596554
"ENSG00000070770"	175.717238443571	0.784781540521274	0.452563961279204	1.73407873287797	0.0829041144109606	0.206249260241902
"ENSG00000071991"	30.648908619811	3.54209330210451	2.30618312539648	1.53591155147124	0.124560074641956	0.27619842637999
"ENSG00000073756"	83.9865155192767	2.02597076831322	1.71057259887658	1.18438163316996	0.236262027370285	0.421319849274459
"ENSG00000074800"	2.14883812599612	3.59711353510067	2.75325927797684	1.30649284063937	0.191385012118969	0.367335749067054
"ENSG00000075624"	122.435408576692	0.0164514357915853	0.446263933290823	0.0368648115259275	0.970592796999078	0.987053072988348
"ENSG00000078399"	35.0134152756955	8.16339861305243	1.92796405423627	4.23420685417614	2.29359755497945e-05	0.000321103657697123
"ENSG00000080573"	5.26215763729191	4.25790297369907	1.11878262905922	3.80583579249843	0.000141326127963954	0.00150607246815318
"ENSG00000086666"	42.3471682566261	-0.531160870845109	0.377035869939198	-1.4087807373096	0.158900012700494	0.320493245955233
"ENSG00000087053"	0.711280524539653	0.114979274874653	1.58082192622765	0.0727338563357546	0.942017906429141	0.968956597310847
"ENSG00000087460"	11.089428005819	0.816183194035023	1.35337758158567	0.6030713122045	0.546461249952699	0.716503959011794
"ENSG00000088205"	1.08856269443524	0.531305002825782	1.61292681815017	0.329404283472156	0.741850130553607	0.843441071998846
"ENSG00000088882"	11.4718544526201	1.92000491900266	1.24770244929378	1.53883237152368	0.12384522476829	0.275468817708907
"ENSG00000089225"	34.7720225120833	7.73634664537663	1.81637012221785	4.25923469602675	2.05128005108043e-05	0.000305127907598214
"ENSG00000095485"	1.45749642302611	1.5797235273992	1.25332550257818	1.2604255830984	0.207515877565802	0.384847627485668
"ENSG00000100228"	0.771671265161915	-3.01879649457743	1.64167231651609	-1.83885448040193	0.0659365925299463	0.175666892038737
"ENSG00000100368"	6.50252780486138	1.40669579415165	1.56082273353414	0.901252758515696	0.367453945436826	0.564219606541707
"ENSG00000100410"	21.4023736406166	-0.203319562781335	0.442128937097742	-0.459864862309131	0.645613222725771	0.78085692205225
"ENSG00000100852"	0.79334461249238	0.710064400917453	1.84109012787174	0.385676067764413	0.699736589275219	0.815027609694137
"ENSG00000101307"	1.22822054037371	3.25672491828185	2.03305779230838	1.60188506721399	0.109181027202728	0.252282373536402
"ENSG00000101361"	7.28002276297411	0.0124882080413726	0.737474593306111	0.0169337468093481	0.986489470562092	0.994018784523007
"ENSG00000101425"	71.4716101881225	9.19427159412488	1.58540883025786	5.7993064114759	6.65897612344833e-09	3.96209079345176e-07
